,User,Influence_Score
360,Slangdini,0
361,SlumpDump,0
362,SnackMastersInc,0
363,Soil97392464,0
364,Sonicjem,0
365,SpennyLove_WCS,8551
366,Splatoon2_Ryoo,0
367,Sports_PS4gamer,0
368,SteelChairMag,0
369,Stephen47685463,0
370,SteveMesa,0
371,Sth_a_biso,0
372,StinaRenee94,0
373,Super_J22,0
374,SurajSi14754513,0
375,SusiDemi93,0
376,SuzieSweet22,0
377,SwaroopSRP31,0
378,THADFROMCAFE,0
379,TRANNYfanLEWIS,0
380,TWO_Sweeet,3752
381,TahaZamka,0
382,TanyaCrain1,0
383,Team3DAcademy,392092
384,TeamHAMMAFIST,0
385,Thando73939827,0
386,ThatJoser,0
387,Thatbaseballjoe,0
388,The7Terminator,0
389,TheClosedFist,0
390,TheDCMatthews,0
391,TheHeelMarks,0
392,TheIsaacMars,0
393,TheJamesZim,0
394,TheJennyWhite,1099
395,TheLionheart15,0
396,TheMadMax25,0
397,TheNicoleCena,0
398,TheNiggox,0
399,TheOthe89154510,0
400,TheP1AJ,0
401,TheProfessorM3,0
402,TheRapMamba,0
403,TheReal1ffs,0
404,TheRealtyLawyer,0
405,TheShieldVWWE,5452
406,TheSleaze52,0
407,TheTraceC,0
408,TheVoices201,0
409,The_Future11,0
410,TheeOmegaDragon,0
411,Thee_DSmith,0
412,Thembamathousan,0
413,ThespecialJuan0,0
414,Thuli_Mango,0
415,TicketDrew,462
416,TiffyMcClain,0
417,Tincho_pugliese,0
418,ToddGordan,0
419,Toddbergeron8,0
420,TomStoup,0
421,Tommyb730,0
422,TonyKegger,0
423,TrishStevenwwe,0
424,Twistedsoul1020,0
425,UNDISPUTEDMEXI,0
426,UglyByNature_,0
427,UkiyaSeed,0
428,UnaiYelow46,0
429,UntamedBlackOut,0
430,VEETON_VEE,0
431,VanRidd,0
432,Venomfan45abby,0
433,VentoHefti,0
434,VhalodiSA,0
435,Vicbanuelos15,0
436,VisseMarkus,0
437,WCSportsCA,0
438,WWE,194376
439,WWEAsuka,0
440,WWEHomeVideoUK,0
441,WWEJGU,0
442,WWELUFC,0
443,WWELadyRefJess,0
444,WWERDream,41772
445,WWERoadToMania,0
446,WWEUK,42963
447,WWE_Divas_Eva_1,0
448,Wandile96443698,0
449,WeAreTheCoda,0
450,WePodAndWeKnow,0
451,Wes_Wayne,0
452,WhatsWithDude,0
453,Willie_Blanton,0
454,WrassleNerds,0
455,Wrestli00516887,0
456,Wrestlin_Museum,0
457,WrestlingFanGab,0
458,Wulf2015GER,0
459,Wwe74972141,0
460,XFLShow,619
461,XOFDNUOH,0
462,XSerikaz,0
463,YouPeepedThat,0
464,YourGayGuru,0
465,YungLittlefoot,0
466,Yung_Poke_Gawd,0
467,Yung_sandwich69,0
468,Z226_JUPITER,0
469,ZDailey13,0
470,Zukhanye_,0
471,_HeffronD_2k17,0
472,_madisonnelson,0
473,_nshflrntn,0
474,_quistopher,0
475,_skywalker311,0
476,aaron_akemon,0
477,abrarshaikh316,0
478,adam_rotella,6696
479,aebeeler76,0
480,ahmad01424,0
481,ajwhitehead,0
482,alc729,0
483,alexcruznation,0
484,altairsalazar94,0
485,amirul_idhamAB,0
486,amunny1158,1839
487,amystewar,0
488,anamasry82,0
489,anglophileangel,0
490,anil_mannady,0
491,anwarpatel25,0
492,arthittp,0
493,artiasi262,0
494,ashrafhayat22,0
495,avi32_,0
496,baamzs,0
497,babyboyhandsup,0
498,babygirlrosie69,0
499,bel_sanchezok_,0
500,bevel_lonna,0
501,bizconsultant01,0
502,black_42,0
503,bobbie_b123,0
504,bradzigulis,0
505,brandonldc591,0
506,briebbeckham,0
507,brittneyreado,0
508,broke_ken,0
509,bru_mestre,0
510,bububulletclub,0
511,bz1321783,0
512,cappershideaway,0
513,carpenter0959ld,0
514,cbeyers1999,0
515,chaaanch_11,0
516,chipibambino,0
517,chloeliz233,0
518,choubeyshivang4,0
519,chrisXsandy,0
520,chrishardy88,0
521,chrismartin202,0
522,cleaningkenny,0
523,cnote9494,0
524,cobbyhils,0
525,codycollier24,0
526,coldfingergurl,0
527,colo282385,0
528,contrerasalex2,0
529,courtneyrcosso,0
530,creatinjustin,0
531,da_bankx,0
532,dadez33,0
533,dahusltler134,0
534,damien_atkins,0
535,dannybell88,0
536,darianshannonx,0
537,datimekeepa,0
538,davecuttle,0
539,davesimonmma,5160
540,davidpalma77,0
541,devildave632,0
542,diamond_shonna,0
543,dobbins_joshua,0
544,dobson_harrison,0
545,dontmattter,0
546,ema_nyan,0
547,emperatriz32pl,0
548,ephenidine,0
549,eric96_eric,0
550,ezeteofilo,383
551,fabio_giannella,0
552,fujita5232019y2,0
553,ganainainaisa,0
554,gansoneymar75,0
555,gauravs51718501,0
556,ghostB222B,0
557,girishapn,0
558,girl_wwefan,0
559,gouala_armelis,0
560,gsk20141975,0
561,gui_guideti,0
562,guinetdavid1,0
563,h_laldas,0
564,haileyaway,0
565,harryv1989,0
566,hasanijun,0
567,haskell420,0
568,heat_bahle,0
569,hector_amp90,0
570,heelstevens,0
571,helensanders_92,0
572,heyimashleigh,0
573,hyoyoon7_,0
574,iBrie_Phoenix,0
575,ihpwblog,5600
576,iiteamsinghii,0
577,imramsrk,0
578,indykast,0
579,internetfreak69,0
580,isumantadas,0
581,j0sephawt,0
582,j_mars00,0
583,jacenes22,0
584,jakeprater_97,0
585,jamie_welton,0
586,jawanikingfarme,0
587,jdommanay,0
588,jeffhardytna362,0
589,jenny67662485,0
590,jericho4life,0
591,jerichosholic,0
592,jerrycampos1991,0
593,jessica76590176,0
594,jjd022980,0
595,joel188xPRx,0
596,joelloev,0
597,johncenaAm,0
598,jounint,0
599,juangp_18,0
