,User,Influence_Score
608,king_nuraino,0
609,kingkenny1967,0
610,kinoko2004,0
611,kirasmoon,0
612,kirisawasetuna,0
613,kito1202,0
614,kktakachi,0
615,kmargaret_39ps,0
616,kmccormickhuhn,0
617,knnaru,0
618,kodoku_taiyo,0
619,koiuds,0
620,kome555,0
621,konatsu_5150,0
622,kopandago,0
623,kottikaraatti,0
624,kreolite5,0
625,kromst,0
626,kura_yuuchann,0
627,kuroageha19,0
628,kyonkyon_senkyo,0
629,ladyjenkin,0
630,lamommusic,0
631,laura_lthomp,0
632,lellingw,0
633,levaughn,0
634,lisalisadoodle,0
635,long_vreeland,0
636,louisefury,0
637,m_aus_s,0
638,maedatatsuya3,0
639,maesar7,0
640,mainasuion7584,0
641,majyority,0
642,malena1083,0
643,mannenaoomoto,0
644,marciasirota,0
645,marumasa_moon,0
646,masaki5120,0
647,masanobu_yamato,0
648,mascom_culprit,0
649,matsu_k_e_n,0
650,may_1638,0
651,mcagney72,0
652,mchovden1785,0
653,metabofire,0
654,mh_shn,0
655,michhechtic,0
656,mickeyuota,0
657,midsky25ls,0
658,min117,0
659,minamimitsuhiro,0
660,mirrorofyata,0
661,misahim,0
662,missdanibagel,0
663,mmitsugi,0
664,mmmasami0101,0
665,moeruasia,93767
666,mohammadameen96,0
667,mohdalikareem,0
668,mosshisince1980,0
669,mother4trump,0
670,mr_ericryan,0
671,mrk3692,0
672,msmsm_msm,0
673,munawar_sayed,0
674,muraji001,0
675,mxacdumlao,0
676,nXfaHnx2U7NZzpz,0
677,na_ahona,0
678,nagamurauruu,0
679,najwazebian,0
680,nakakei203,0
681,namtien223,0
682,nantomori_neta,0
683,naopata,0
684,nasetsu,0
685,nawazchor420,0
686,ncguy47,0
687,necobaka69,0
688,neilparekh_uww,0
689,neilrichards365,0
690,nekocatpaw1,0
691,nekocracy,0
692,nenekoko0322,0
693,nephstar,0
694,njliner_Z0,0
695,njpw_iwgp_m0621,0
696,nob7wooddragon,0
697,nobinobijuku,0
698,norinsan,0
699,notyouravgjoe47,0
700,o_o_karu,0
701,ochiyasu1,0
702,office_Faith,0
703,ononokichanchan,0
704,ootsukisan126,0
705,ortogrfia,0
706,ossien1,0
707,owWFYFrjw2F2RVr,0
708,owl618,0
709,oz62,0
710,p00rpete,0
711,p_acrc,0
712,paco_plaza,0
713,paladine,0
714,pandakoara103,0
715,peinpointgmail1,0
716,photon2039v2,0
717,pimball1973,0
718,pomme888,0
719,ponpokotanuki99,0
720,preciouslife247,0
721,presscom2017,0
722,publius4,0
723,puutyakun,0
724,pv14UVpHh7m74ux,0
725,qaziaamirmajeed,0
726,qbkqbk,0
727,qihr5eg,0
728,qimmalmros,0
729,qombvve6i5WesEJ,0
730,qqnw2ay9k,0
731,rachelbwalters,0
732,ramen_hanshin,0
733,ranalomar,0
734,range33351,0
735,rarmu,0
736,rashidaldosari,0
737,realsaadkhan,0
738,red_bearon,800
739,rera_masaki,0
740,rnarlie,0
741,rnsills,0
742,roPArfwJWJmkFdr,0
743,robleer,0
744,rosabelpotter,0
745,rosiealaska,0
746,rotto4_mich,0
747,rrsteezy,0
748,ruka69sub,0
749,ruri_shinju,0
750,ryo2703kawasaki,0
751,ryoshun,0
752,s_jam25728,0
753,s_leaf,0
754,saadkiet,0
755,sabrimgd,0
756,sachinko931,0
757,saigoh_ponta,0
758,saikobanzai,0
759,sakuradanon,0
760,salstrange,0
761,sam_storm94,0
762,sanchi2810,0
763,sarahshulist,0
764,satohkouichi,0
765,saya0kurishina,0
766,sayamoni,0
767,sdtfarmer,0
768,se_mimizuku,0
769,seiyunoheya,0
770,semanadrea,0
771,sgbuggs,0
772,shanaj1121,0
773,shani0307,0
774,sheblurb,246
775,sheikhmohsin,0
776,shina_net_st,0
777,shiokata1964,0
778,shmoo_plot,0
779,shogi_to_world,0
780,shoukatsahi,0
781,shushu1972,0
782,shushumaru1016,0
783,shybigfoot,0
784,simone_agosti91,0
785,sirogarasu_phot,0
786,skkyosukeng,0
787,slitrogan,0
788,smjnryk,0
789,soft_like_you,0
790,sokokuboueiken,0
791,solusnan1,0
792,songhwaryeon,0
793,ssatomisawa,0
794,stevwgn7,0
795,stubblebine780,0
796,suanyJerezano,0
797,suginargsussi,0
798,suhaibusafzai,0
799,suisenteikyohji,0
800,sukisukiruka20,0
801,sundog412,0
802,super2048,0
803,t67jUbhsWGnWWDH,0
804,taberna_taberna,0
805,taghiro,0
806,tagilolip,0
807,takahimro,0
808,takigaha,0
809,tamatekasten,0
810,taylor_marmar,0
811,techu_11,0
812,testpeace45,0
813,texasrighty,0
814,theNFLchick,0
815,tiendien,0
816,tocktm,0
817,todanny21,0
818,togemaru_k,0
819,tomb6582,0
820,tommy0129223,0
821,tomo2sei9024848,0
822,tomo_c_a,0
823,tomonarinakamur,0
824,torajiro_joshu,0
825,totaalvoet,0
826,tparkatheist,0
827,trentmkays,0
828,trnskhan,0
829,tstewart666,0
830,tsuyosh05492614,0
831,ttjj01,0
832,tuck_case,0
833,tumultuous_don,0
834,twilson844,0
835,tymanmayo,0
836,u2RMLHpvFuGaJS3,0
837,uW5BFIxO4lBwHYY,0
838,ufbrtone,0
839,umako620,0
840,urutobi,0
841,usataro119,0
842,volkertvs,0
843,volvoxmawari,0
844,w6CuDwgAeCGXCbB,0
845,wIWM2YJcUojQrJY,0
846,waihekewaiheke,0
847,wairy_d,0
848,wajuntei,0
849,wana_fight,0
850,waydavis,0
851,wddaughter,0
852,we809041,0
853,wenxiayii,0
854,westwoods72,0
855,whatisrhetoric,0
856,whoolee,0
857,woitekj,0
858,wolffhound53,0
859,worldthenews,0
860,wotaku_account,0
861,xodanix3,0
862,y_itami,0
863,y_kanekyon,0
864,yamachanrider,0
865,yamacoloveless,0
866,yamamotobuunyan,0
867,yasejijiy,0
868,yasishzd,506
869,yevgen_y,0
870,ynh7919,0
871,yokimuy,0
872,yoko1_1_1,0
873,yokohamashiminr,0
874,yokoyama_hiroto,0
875,yoshinobu_,0
876,yozakura8826,0
877,ytb_co,0
878,yu62kase,0
879,yugo_rk,0
880,yukitsujita,0
881,yuuzantorii,0
882,yvanlunzen,0
883,ywtf,0
884,zZz8Bvl6yKiWf91,0
885,zie1o,0
886,zipang_osaan,652
887,zlatanno8inter,0
888,zzyzxbaker,0
